,agency_cd,site_no,datetime,145277_99133_00001,145277_99133_00001_cd,145278_99133_00002,145278_99133_00002_cd,145279_99133_00008,145279_99133_00008_cd,145280_00060_00003,145280_00060_00003_cd,145286_00010_00001,145286_00010_00001_cd,145287_00010_00002,145287_00010_00002_cd,145288_00010_00008,145288_00010_00008_cd,145290_00095_00001,145290_00095_00001_cd,145291_00095_00002,145291_00095_00002_cd,145292_00095_00008,145292_00095_00008_cd,145294_00300_00001,145294_00300_00001_cd,145295_00300_00002,145295_00300_00002_cd,145296_00300_00008,145296_00300_00008_cd,145297_00400_00001,145297_00400_00001_cd,145298_00400_00002,145298_00400_00002_cd,145299_00400_00008,145299_00400_00008_cd,241304_63680_00008,241304_63680_00008_cd,241305_63680_00002,241305_63680_00002_cd,241306_63680_00001,241306_63680_00001_cd
1,USGS,2035000,2022-04-24,0.14,A,0.09,A,0.11,A,6800,A,20.5,A,18.3,A,19.2,A,151.0,A,144.0,A,148.0,A,9.4,A,8.9,A,9.1,A,8.0,A,7.9,A,7.9,A,5.9,A,4.6,A,7.5,A
2,USGS,2035000,2022-04-25,0.12,A,0.07,A,0.09,A,6380,A,21.8,A,19.9,A,20.6,A,149.0,A,140.0,A,143.0,A,9.0,A,8.5,A,8.7,A,8.0,A,7.8,A,7.9,A,5.5,A,4.5,A,7.4,A
3,USGS,2035000,2022-04-26,0.14,A,0.06,A,0.08,A,6200,A,21.7,A,19.9,A,20.9,A,140.0,A,123.0,A,134.0,A,8.7,A,7.9,A,8.4,A,7.9,A,7.5,A,7.9,A,5.8,A,4.4,A,49.8,A
4,USGS,2035000,2022-04-27,0.14,A,0.05,A,0.09,A,6420,A,20.3,A,18.8,A,19.5,A,127.0,A,121.0,A,124.0,A,8.6,A,7.7,A,8.1,A,7.7,A,7.4,A,7.6,A,9.8,A:[4],6.4,A:[4],30.8,A:[4]
5,USGS,2035000,2022-04-28,0.08,A,0.05,A,0.06,A,5900,A,19.3,A,17.9,A,18.6,A,124.0,A,120.0,A,122.0,A,9.3,A,8.4,A,8.8,A,7.9,A,7.6,A,7.7,A,5.0,A,3.8,A,6.6,A
6,USGS,2035000,2022-04-29,0.09,A,0.03,A,0.06,A,5200,A,18.9,A,17.1,A,18.0,A,125.0,A,122.0,A,124.0,A,9.8,A,8.7,A,9.2,A,8.1,A,7.7,A,7.8,A,3.9,A,3.2,A,5.3,A
7,USGS,2035000,2022-04-30,0.1,A,0.02,A,0.04,A,4740,A,18.0,A,17.2,A,17.7,A,128.0,A,125.0,A,126.0,A,9.6,A,8.8,A,9.2,A,8.1,A,7.8,A,7.9,A,3.3,A,2.7,A,4.0,A
8,USGS,2035000,2022-05-01,,,,,,,4540,A,18.4,A,17.0,A,17.6,A,130.0,A,127.0,A,128.0,A,9.9,A,8.8,A,9.3,A,8.2,A,7.7,A,7.9,A,3.5,A,3.0,A,6.5,A
9,USGS,2035000,2022-05-02,,,,,,,4360,A,20.6,A,17.9,A,19.0,A,130.0,A,127.0,A,129.0,A,10.1,A,8.7,A,9.2,A,8.4,A,7.7,A,7.9,A,3.2,A,2.7,A,5.6,A
10,USGS,2035000,2022-05-03,,,,,,,4250,A,21.1,A,19.6,A,20.0,A,135.0,A,128.0,A,132.0,A,9.7,A,8.3,A,8.8,A,8.4,A,7.7,A,7.9,A,3.3,A,2.8,A,4.5,A
11,USGS,2035000,2022-05-04,0.04,A,0.02,A,0.03,A,4020,A,23.1,A,20.7,A,21.7,A,144.0,A,135.0,A,139.0,A,9.6,A,7.8,A,8.6,A,8.6,A,7.7,A,7.9,A,3.2,A,2.9,A,10.0,A
12,USGS,2035000,2022-05-05,0.04,A,0.02,A,0.03,A,4110,A,22.5,A,21.4,A,22.0,A,146.0,A,142.0,A,143.0,A,9.2,A,7.5,A,8.2,A,8.3,A,7.6,A,7.8,A,3.6,A,3.3,A,6.3,A
13,USGS,2035000,2022-05-06,0.1,A,0.04,A,0.06,A,3950,A,21.4,A,20.6,A,21.0,A,144.0,A,142.0,A,142.0,A,8.8,A,7.6,A,8.1,A,8.1,A,7.6,A,7.7,A,3.7,A,3.2,A,10.6,A
14,USGS,2035000,2022-05-07,0.15,A,0.06,A,0.09,A,5240,A,20.6,A,17.8,A,19.8,A,144.0,A,111.0,A,141.0,A,8.3,A,7.5,A,8.0,A,7.7,A,7.3,A,7.6,A,5.2,A,4.5,A,15.1,A
15,USGS,2035000,2022-05-08,0.24,A,0.13,A,0.18,A,6900,A,17.8,A,15.7,A,16.4,A,111.0,A,101.0,A,103.0,A,8.7,A,8.0,A,8.1,A,7.4,A,7.3,A,7.4,A,25.4,A,14.7,A,47.8,A
16,USGS,2035000,2022-05-09,,,,,,,13500,A,17.5,A,15.2,A,15.7,A,180.0,A,104.0,A,154.0,A,9.1,A,8.5,A,8.9,A,7.8,A,7.4,A,7.7,A,32.1,A,17.2,A,47.6,A
17,USGS,2035000,2022-05-10,,,,,,,13200,A,17.9,A,16.9,A,17.5,A,181.0,A,162.0,A,168.0,A,8.7,A,8.5,A,8.6,A,7.8,A,7.7,A,7.7,A,24.1,A,17.1,A,45.0,A
18,USGS,2035000,2022-05-11,,,,,,,11300,A,17.9,A,17.0,A,17.8,A,162.0,A,116.0,A,136.0,A,8.8,A,8.7,A,8.7,A,7.7,A,7.5,A,7.5,A,,,17.2,A:[4],24.6,A:[4]
19,USGS,2035000,2022-05-12,0.25,A,0.23,A,0.24,A,10000,A,18.0,A,17.6,A,17.8,A,116.0,A,112.0,A,115.0,A,8.8,A,8.6,A,8.6,A,7.5,A,7.5,A,7.5,A,,,13.8,A:[4],16.3,A:[4]
20,USGS,2035000,2022-05-13,0.25,A,0.22,A,0.23,A,8040,A,18.7,A,17.9,A,18.2,A,117.0,A,110.0,A,113.0,A,8.6,A,8.5,A,8.6,A,7.5,A,7.4,A,7.5,A,12.2,A,10.4,A,18.7,A
21,USGS,2035000,2022-05-14,0.28,A,0.2,A,0.22,A,8460,A,19.2,A,18.6,A,18.9,A,116.0,A,76.0,A,115.0,A,8.5,A,7.6,A,8.4,A,7.5,A,7.0,A,7.5,A,10.2,A,8.6,A,126.0,A
22,USGS,2035000,2022-05-15,0.28,A,0.25,A,0.26,A,9360,A,20.3,A,18.5,A,19.4,A,83.0,A,74.0,A,79.0,A,8.0,A,7.6,A,7.9,A,7.2,A,7.0,A,7.1,A,95.6,A,63.6,A,144.0,A
23,USGS,2035000,2022-05-16,0.29,A,0.25,A,0.26,A,8500,A,21.5,A,20.0,A,20.5,A,86.0,A,80.0,A,83.0,A,8.0,A,7.5,A,7.7,A,7.2,A,7.1,A,7.2,A,47.7,A,38.1,A,78.1,A
24,USGS,2035000,2022-05-17,0.27,A,0.23,A,0.24,A,7550,A,21.9,A,19.9,A,20.7,A,101.0,A,82.0,A,93.0,A,7.9,A,7.8,A,7.8,A,7.4,A,7.2,A,7.3,A,25.9,A,18.6,A,52.9,A
25,USGS,2035000,2022-05-18,0.26,A,0.23,A,0.25,A,6640,A,22.1,A,20.8,A,21.4,A,112.0,A,101.0,A,105.0,A,7.9,A,7.8,A,7.8,A,7.5,A,7.4,A,7.4,A,20.6,A,17.2,A,30.9,A
26,USGS,2035000,2022-05-19,0.26,A,0.23,A,0.25,A,5830,A,23.8,A,21.4,A,22.2,A,117.0,A,112.0,A,114.0,A,7.9,A,7.7,A,7.8,A,7.5,A,7.5,A,7.5,A,14.8,A,11.6,A,23.6,A
27,USGS,2035000,2022-05-20,0.24,A,0.19,A,0.23,A,5090,A,25.3,A,22.7,A,23.6,A,119.0,A,114.0,A,117.0,A,7.7,A,7.4,A,7.6,A,7.6,A,7.5,A,7.6,A,11.9,A,9.6,A,16.7,A
28,USGS,2035000,2022-05-21,,,,,,,4560,A,26.7,A,24.4,A,25.4,A,121.0,A,118.0,A,121.0,A,7.6,A,7.2,A,7.4,A,7.7,A,7.5,A,7.6,A,8.7,A,7.3,A,13.6,A
29,USGS,2035000,2022-05-22,,,,,,,4230,A,27.7,A,25.6,A,26.4,A,126.0,A,121.0,A,124.0,A,7.4,A,7.1,A,7.2,A,7.8,A,7.5,A,7.7,A,7.9,A,6.2,A,20.4,A
30,USGS,2035000,2022-05-23,,,,,,,3770,A,27.0,A,24.2,A,25.9,A,127.0,A,122.0,A,126.0,A,7.3,A,6.9,A,7.2,A,7.8,A,7.5,A,7.6,A,6.1,A,5.2,A,7.6,A
31,USGS,2035000,2022-05-24,,,,,,,5000,A,24.2,A,20.6,A,22.4,A,122.0,A,105.0,A,115.0,A,7.7,A,7.3,A,7.4,A,7.5,A,7.3,A,7.5,A,9.2,A,7.5,A,20.4,A
32,USGS,2035000,2022-05-25,,,,,,,11200,A,20.6,A,19.4,A,19.6,A,109.0,A,95.0,A,106.0,A,8.0,A,7.7,A,7.9,A,7.4,A,7.2,A,7.4,A,30.8,A,18.6,A,41.7,A
33,USGS,2035000,2022-05-26,,,,,,,12900,A,20.1,A,19.2,A,19.4,A,134.0,A,103.0,A,116.0,A,8.1,A,7.9,A,8.1,A,7.5,A,7.3,A,7.4,A,28.5,A,20.8,A,39.1,A
34,USGS,2035000,2022-05-27,,,,,,,11300,A,20.6,A,20.1,A,20.4,A,149.0,A,134.0,A,140.0,A,8.0,A,7.9,A,7.9,A,7.6,A,7.5,A,7.5,A,24.1,A,17.9,A,40.8,A
35,USGS,2035000,2022-05-28,,,,,,,24700,A,20.1,A,19.3,A,19.6,A,135.0,A,83.0,A,110.0,A,8.0,A,7.6,A,7.7,A,7.5,A,7.0,A,7.3,A,109.0,A,29.8,A,175.0,A
36,USGS,2035000,2022-05-29,,,,,,,27900,A,20.4,A,19.3,A,19.9,A,106.0,A,88.0,A,94.0,A,8.0,A,7.8,A,7.9,A,7.4,A,7.2,A,7.3,A,90.8,A,66.5,A,112.0,A
37,USGS,2035000,2022-05-30,,,,,,,19900,A,21.7,A,19.9,A,20.4,A,118.0,A,104.0,A,114.0,A,8.1,A,7.9,A,8.0,A,7.5,A,7.4,A,7.4,A,52.0,A,34.0,A,73.6,A
38,USGS,2035000,2022-05-31,,,,,,,14100,A,23.2,A,21.5,A,22.0,A,104.0,A,94.0,A,95.0,A,7.9,A,7.6,A,7.8,A,7.4,A,7.3,A,7.3,A,34.0,A,26.7,A,52.4,A
39,USGS,2035000,2022-06-01,,,,,,,10700,A,24.8,A,23.1,A,23.8,A,101.0,A,95.0,A,98.0,A,7.6,A,7.3,A,7.5,A,7.4,A,7.3,A,7.4,A,22.2,A,16.3,A,35.9,A
40,USGS,2035000,2022-06-02,,,,,,,8880,A,25.6,A,24.3,A,24.8,A,106.0,A,101.0,A,105.0,A,7.4,A,7.2,A,7.3,A,7.5,A,7.4,A,7.4,A,16.2,A,12.7,A,27.1,A
41,USGS,2035000,2022-06-03,,,,,,,8110,A,25.4,A,24.7,A,25.2,A,110.0,A,106.0,A,109.0,A,7.3,A,7.2,A,7.2,A,7.5,A,7.4,A,7.5,A,13.7,A,12.6,A,15.6,A
42,USGS,2035000,2022-06-04,,,,,,,7260,A,25.3,A,24.0,A,24.7,A,117.0,A,109.0,A,114.0,A,7.5,A,7.3,A,7.4,A,7.6,A,7.5,A,7.5,A,13.4,A,11.4,A,18.8,A
43,USGS,2035000,2022-06-05,,,,,,,6030,A,25.5,A,23.9,A,24.6,A,122.0,A,116.0,A,120.0,A,7.6,A,7.5,A,7.5,A,7.7,A,7.5,A,7.6,A,12.7,A,9.0,A,17.2,A
44,USGS,2035000,2022-06-06,0.28,A,0.23,A,0.25,A,5030,A,25.6,A,23.8,A,24.6,A,128.0,A,122.0,A,124.0,A,7.8,A,7.6,A,7.7,A,7.8,A,7.6,A,7.7,A,8.3,A,6.3,A,14.6,A
45,USGS,2035000,2022-06-07,0.26,A,0.23,A,0.24,A,4370,A,24.9,A,24.1,A,24.5,A,133.0,A,128.0,A,130.0,A,7.8,A,7.6,A,7.6,A,8.0,A,7.6,A,7.8,A,6.4,A,5.3,A,19.8,A
46,USGS,2035000,2022-06-08,0.34,A,0.23,A,0.23,A,4000,A,26.0,A,24.0,A,25.0,A,138.0,A,132.0,A,136.0,A,7.8,A,7.4,A,7.6,A,7.7,A,7.5,A,7.6,A,6.4,A,4.8,A,23.1,A
47,USGS,2035000,2022-06-09,0.39,A,0.23,A,0.26,A,4120,A,26.3,A,24.7,A,25.4,A,136.0,A,117.0,A,126.0,A,7.4,A,7.2,A,7.3,A,7.6,A,7.5,A,7.5,A,9.8,A,8.4,A,12.9,A
48,USGS,2035000,2022-06-10,0.23,A,0.19,A,0.21,A,4090,A,26.3,A,24.5,A,25.4,A,125.0,A,120.0,A,122.0,A,7.8,A,7.3,A,7.5,A,7.9,A,7.5,A,7.7,A,6.9,A,5.7,A,11.7,A
49,USGS,2035000,2022-06-11,0.19,A,0.17,A,0.18,A,3710,A,25.9,A,24.6,A,25.2,A,134.0,A,125.0,A,128.0,A,7.9,A,7.4,A,7.6,A,8.1,A,7.7,A,7.9,A,5.6,A,4.5,A,18.0,A
50,USGS,2035000,2022-06-12,0.5,A,0.16,A,0.33,A,6400,A,25.2,A,23.1,A,23.6,A,135.0,A,87.0,A,116.0,A,7.6,A,7.0,A,7.2,A,7.8,A,7.0,A,7.3,A,85.2,A,5.0,A,209.0,A
51,USGS,2035000,2022-06-13,,,,,,,6900,A,25.7,A,23.0,A,24.0,A,112.0,A,90.0,A,95.0,A,7.1,A,7.0,A,7.0,A,7.3,A,7.0,A,7.1,A,39.6,A,20.1,A,76.6,A
52,USGS,2035000,2022-06-14,,,,,,,4530,A,26.0,A,25.6,A,25.8,A,129.0,A,112.0,A,118.0,A,7.1,A,6.9,A,7.0,A,7.4,A,7.2,A,7.4,A,13.0,A,9.9,A,23.0,A
53,USGS,2035000,2022-06-15,,,,,,,3840,A,27.2,A,25.0,A,25.9,A,137.0,A,126.0,A,128.0,A,7.6,A,6.9,A,7.3,A,7.6,A,7.3,A,7.5,A,9.7,A,8.5,A,12.0,A
54,USGS,2035000,2022-06-16,,,,,,,3550,A,28.5,A,26.3,A,27.4,A,150.0,A,137.0,A,143.0,A,7.7,A,7.1,A,7.3,A,7.9,A,7.5,A,7.6,A,8.0,A,6.0,A,12.3,A
55,USGS,2035000,2022-06-17,,,,,,,4130,A,27.5,A,25.7,A,26.5,A,152.0,A,103.0,A,114.0,A,7.2,A,6.2,A,6.6,A,7.7,A,7.1,A,7.2,A,39.2,A,7.8,A,93.9,A
56,USGS,2035000,2022-06-18,0.26,A,0.17,A,0.2,A,3330,A,28.1,A,26.0,A,26.7,A,160.0,A,117.0,A,144.0,A,7.5,A,6.6,A,6.9,A,7.9,A,7.2,A,7.6,A,15.8,A,7.0,A,33.8,A
57,USGS,2035000,2022-06-19,0.17,A,0.11,A,0.16,A,2940,A,26.5,A,24.7,A,25.7,A,170.0,A,159.0,A,161.0,A,8.0,A,7.1,A,7.5,A,8.3,A,7.7,A,8.0,A,6.8,A,5.3,A,10.8,A
58,USGS,2035000,2022-06-20,0.13,A,0.03,A,0.1,A,2880,A,25.6,A,24.1,A,24.8,A,172.0,A,166.0,A,170.0,A,8.4,A,7.5,A,7.9,A,8.6,A,8.0,A,8.2,A,5.2,A,3.8,A,10.7,A
59,USGS,2035000,2022-06-21,,,,,,,2720,A,26.4,A,23.9,A,24.8,A,174.0,A,169.0,A,172.0,A,8.5,A,7.7,A,7.9,A,8.6,A,8.1,A,8.3,A,4.2,A,3.1,A,6.7,A
60,USGS,2035000,2022-06-22,,,,,,,2540,A,26.7,A,24.8,A,25.8,A,179.0,A,174.0,A,176.0,A,8.2,A,7.3,A,7.7,A,8.6,A,8.2,A,8.3,A,3.8,A,2.7,A,10.3,A
61,USGS,2035000,2022-06-23,,,,,,,5080,A,26.0,A,23.6,A,25.4,A,179.0,A,88.0,A,170.0,A,7.3,A,6.2,A,6.9,A,8.2,A,6.9,A,7.8,A,10.4,A,4.8,A,105.0,A
62,USGS,2035000,2022-06-24,,,,,,,5440,A,25.8,A,23.4,A,24.1,A,111.0,A,88.0,A,97.0,A,6.7,A,6.3,A,6.6,A,7.2,A,6.9,A,7.1,A,55.1,A,26.2,A,87.2,A
63,USGS,2035000,2022-06-25,0.35,A,0.26,A,0.28,A,3520,A,28.0,A,24.8,A,26.0,A,138.0,A,111.0,A,125.0,A,7.4,A,6.7,A,7.0,A,7.6,A,7.2,A,7.5,A,15.3,A,9.9,A,31.4,A
64,USGS,2035000,2022-06-26,0.26,A,0.18,A,0.21,A,2840,A,28.6,A,26.3,A,27.4,A,147.0,A,138.0,A,142.0,A,8.2,A,6.8,A,7.3,A,8.1,A,7.5,A,7.7,A,8.6,A,6.8,A,15.1,A
65,USGS,2035000,2022-06-27,0.18,A,0.13,A,0.15,A,2840,A,28.0,A,26.8,A,27.5,A,159.0,A,147.0,A,156.0,A,7.8,A,6.8,A,7.3,A,8.0,A,7.6,A,7.8,A,6.9,A,4.8,A,15.7,A
66,USGS,2035000,2022-06-28,0.22,A,0.13,A,0.19,A,3540,A,27.3,A,25.4,A,26.3,A,159.0,A,135.0,A,144.0,A,8.0,A,6.9,A,7.3,A,7.8,A,7.5,A,7.6,A,9.8,A,7.5,A,12.3,A
67,USGS,2035000,2022-06-29,0.23,A,0.14,A,0.18,A,2710,A,28.0,A,25.1,A,26.2,A,153.0,A,137.0,A,149.0,A,8.4,A,7.1,A,7.5,A,8.2,A,7.5,A,7.7,A,5.3,A,4.3,A,8.6,A
68,USGS,2035000,2022-06-30,,,,,,,2330,A,28.9,A,26.4,A,27.8,A,162.0,A,149.0,A,153.0,A,8.2,A,7.0,A,7.3,A,8.2,A,7.6,A,7.8,A,5.4,A,3.5,A,13.3,A
69,USGS,2035000,2022-07-01,,,,,,,2110,A,30.5,A,27.6,A,29.0,A,181.0,A,162.0,A,173.0,A,8.4,A,6.7,A,7.2,A,8.6,A,7.7,A,7.9,A,4.8,A,3.0,A,24.1,A
70,USGS,2035000,2022-07-02,,,,,,,2030,A,30.5,A,28.6,A,29.6,A,186.0,A,181.0,A,183.0,A,8.0,A,6.6,A,7.0,A,8.5,A,7.8,A,8.0,A,4.0,A,2.6,A,12.7,A
71,USGS,2035000,2022-07-03,,,,,,,1970,A,30.4,A,28.6,A,29.4,A,190.0,A,186.0,A,188.0,A,8.8,A,6.4,A,7.4,A,8.6,A,7.7,A,8.0,A,3.6,A,2.4,A,6.7,A
72,USGS,2035000,2022-07-04,,,,,,,2190,A,30.3,A,27.5,A,28.8,A,199.0,A,190.0,A,193.0,A,9.0,A,6.7,A,7.4,A,8.7,A,7.8,A,8.1,A,3.3,A,2.3,A,8.3,A
73,USGS,2035000,2022-07-05,,,,,,,2010,A,29.2,A,28.1,A,28.7,A,202.0,A,193.0,A,198.0,A,8.4,A,6.6,A,7.2,A,8.5,A,7.7,A,8.0,A,2.7,A,2.2,A,4.1,A
74,USGS,2035000,2022-07-06,0.09,A,0.02,A,0.07,A,1940,A,29.5,A,27.5,A,28.3,A,194.0,A,190.0,A,192.0,A,8.8,A,6.5,A,7.2,A,8.5,A,7.6,A,7.8,A,2.6,A,2.1,A,3.8,A
75,USGS,2035000,2022-07-07,,,,,,,2020,A,29.7,A,27.8,A,28.7,A,198.0,A,193.0,A,196.0,A,8.6,A,6.5,A,7.3,A,8.3,A,7.6,A,7.8,A,2.7,A,2.1,A,3.5,A
76,USGS,2035000,2022-07-08,0.11,A,0.08,A,0.1,A,3120,A,29.9,A,28.3,A,28.9,A,214.0,A,194.0,A,202.0,A,8.1,A,6.4,A,7.0,A,8.1,A,7.6,A,7.7,A,3.4,A,3.0,A,5.0,A
77,USGS,2035000,2022-07-09,0.33,A,0.09,A,0.11,A,3650,A,29.1,A,26.7,A,28.5,A,211.0,A,128.0,A,202.0,A,6.9,A,5.9,A,6.5,A,7.7,A,7.0,A,7.6,A,3.9,A,2.7,A,22.1,A
78,USGS,2035000,2022-07-10,0.43,A,0.33,A,0.39,A,3760,A,26.7,A,24.4,A,24.9,A,128.0,A,103.0,A,110.0,A,6.7,A,5.9,A,6.2,A,7.1,A,7.0,A,7.0,A,45.5,A,19.2,A,82.9,A
79,USGS,2035000,2022-07-11,0.36,A,0.28,A,0.3,A,2940,A,26.8,A,23.7,A,24.8,A,148.0,A,123.0,A,128.0,A,8.2,A,6.7,A,7.3,A,7.7,A,7.1,A,7.4,A,10.3,A,8.0,A,19.2,A
80,USGS,2035000,2022-07-12,0.33,A,0.25,A,0.31,A,2530,A,28.4,A,25.1,A,26.4,A,169.0,A,148.0,A,164.0,A,8.4,A,6.9,A,7.4,A,8.1,A,7.4,A,7.7,A,5.3,A,4.3,A,8.5,A
81,USGS,2035000,2022-07-13,0.28,A,0.2,A,0.24,A,2340,A,29.4,A,27.1,A,28.0,A,189.0,A,169.0,A,178.0,A,8.3,A,6.7,A,7.3,A,8.3,A,7.6,A,7.9,A,4.3,A,3.4,A,5.8,A
82,USGS,2035000,2022-07-14,0.22,A,0.13,A,0.19,A,2290,A,30.1,A,27.6,A,28.8,A,198.0,A,187.0,A,192.0,A,8.3,A,6.6,A,7.2,A,8.4,A,7.7,A,7.9,A,4.1,A,2.8,A,13.2,A
83,USGS,2035000,2022-07-15,0.2,A,0.08,A,0.15,A,2350,A,30.4,A,27.8,A,29.0,A,210.0,A,184.0,A,197.0,A,8.5,A,6.5,A,7.2,A,8.5,A,7.6,A,7.9,A,4.1,A,3.1,A,6.9,A
84,USGS,2035000,2022-07-16,,,,,,,2650,A,29.3,A,27.4,A,28.0,A,184.0,A,148.0,A,160.0,A,7.2,A,6.3,A,6.8,A,7.9,A,7.3,A,7.6,A,7.1,A,5.2,A,11.2,A
85,USGS,2035000,2022-07-17,,,,,,,2080,A,29.1,A,26.6,A,28.2,A,203.0,A,170.0,A,195.0,A,7.7,A,6.3,A,6.9,A,8.1,A,7.5,A,7.8,A,6.6,A,5.4,A,14.4,A
86,USGS,2035000,2022-07-18,,,,,,,2430,A,29.9,A,27.5,A,28.6,A,198.0,A,154.0,A,157.0,A,7.6,A,6.4,A,6.8,A,7.9,A,7.4,A,7.6,A,7.2,A,5.6,A,19.0,A
87,USGS,2035000,2022-07-19,,,,,,,2550,A,30.0,A,28.2,A,29.0,A,165.0,A,134.0,A,162.0,A,7.5,A,6.3,A,6.7,A,8.0,A,7.4,A,7.6,A,7.7,A,5.6,A,9.0,A
88,USGS,2035000,2022-07-20,,,,,,,2560,A,30.3,A,27.6,A,28.7,A,144.0,A,132.0,A,136.0,A,7.5,A,6.3,A,6.7,A,7.8,A,7.3,A,7.5,A,8.8,A,6.5,A,12.8,A
89,USGS,2035000,2022-07-21,,,,,,,2220,A,30.2,A,28.6,A,29.5,A,165.0,A,144.0,A,158.0,A,7.4,A,6.3,A,6.7,A,7.9,A,7.5,A,7.6,A,6.6,A,5.2,A,10.5,A
90,USGS,2035000,2022-07-22,,,,,,,1950,A,,,,,,,,,,,,,,,,,,,,,,,,,5.9,A:[4],4.5,A:[4],9.6,A:[4]
91,USGS,2035000,2022-07-23,0.19,A,0.14,A,0.18,A,1840,A,32.0,A,28.8,A,30.2,A,198.0,A,193.0,A,196.0,A,8.6,A,6.7,A,7.2,A,8.6,A,7.8,A,8.1,A,4.8,A,3.5,A,11.8,A
92,USGS,2035000,2022-07-24,0.19,A,0.11,A,0.16,A,2060,A,32.1,A,29.6,A,30.6,A,213.0,A,196.0,A,202.0,A,8.5,A,6.6,A,7.2,A,8.7,A,8.0,A,8.2,A,4.3,A,3.2,A,5.3,A
93,USGS,2035000,2022-07-25,,,,,,,1670,A,31.8,A,29.9,A,30.6,A,226.0,A,213.0,A,224.0,A,8.4,A,6.5,A,7.0,A,8.6,A,8.0,A,8.2,A,3.3,A,2.0,A,6.5,A
94,USGS,2035000,2022-07-26,,,,,,,1860,A,30.0,A,28.3,A,29.4,A,225.0,A,161.0,A,216.0,A,7.6,A,6.3,A,6.8,A,8.2,A,7.6,A,7.9,A,3.7,A,2.6,A,8.9,A
95,USGS,2035000,2022-07-27,0.31,A,0.22,A,0.26,A,2090,A,28.3,A,27.1,A,28.1,A,173.0,A,146.0,A,153.0,A,7.2,A,6.4,A,6.7,A,7.6,A,7.5,A,7.5,A,11.7,A,4.9,A,16.9,A
96,USGS,2035000,2022-07-28,0.24,A,0.18,A,0.2,A,2350,A,29.7,A,27.6,A,28.4,A,193.0,A,173.0,A,185.0,A,8.1,A,6.5,A,7.1,A,8.1,A,7.6,A,7.8,A,6.7,A,5.3,A,10.6,A
97,USGS,2035000,2022-07-29,0.22,A,0.16,A,0.18,A,2380,A,29.3,A,28.2,A,28.9,A,207.0,A,184.0,A,200.0,A,7.8,A,6.7,A,7.1,A,8.2,A,7.7,A,7.8,A,5.1,A,3.6,A,8.7,A
98,USGS,2035000,2022-07-30,0.27,A,0.18,A,0.24,A,2830,A,28.7,A,26.5,A,27.9,A,184.0,A,145.0,A,160.0,A,7.6,A,6.4,A,6.8,A,7.7,A,7.4,A,7.6,A,14.4,A,8.6,A,27.6,A
99,USGS,2035000,2022-07-31,0.32,A,0.13,A,0.17,A,3560,A,27.8,A,25.6,A,26.8,A,193.0,A,178.0,A,186.0,A,7.4,A,6.9,A,7.1,A,7.8,A,7.6,A,7.7,A,8.6,A,6.8,A,22.3,A
100,USGS,2035000,2022-08-01,0.32,A,0.2,A,0.23,A,3450,A,27.4,A,25.1,A,26.0,A,191.0,A,178.0,A,184.0,A,7.9,A,7.0,A,7.4,A,7.8,A,7.5,A,7.6,A,10.8,A,7.7,A,20.6,A
101,USGS,2035000,2022-08-02,0.23,A,0.17,A,0.2,A,3870,A,28.7,A,25.6,A,27.0,A,214.0,A,150.0,A,174.0,A,7.9,A,6.8,A,7.2,A,7.9,A,7.4,A,7.6,A,13.8,A,8.8,A,22.3,A
102,USGS,2035000,2022-08-03,0.2,A,0.11,A,0.16,A,3820,A,30.3,A,27.7,A,28.6,A,241.0,A,214.0,A,237.0,A,8.3,A,6.9,A,7.3,A,8.3,A,7.8,A,8.0,A,6.1,A,4.8,A,11.2,A
103,USGS,2035000,2022-08-04,0.15,A,0.09,A,0.12,A,2650,A,31.0,A,28.5,A,29.6,A,248.0,A,240.0,A,243.0,A,8.5,A,6.8,A,7.3,A,8.5,A,7.9,A,8.1,A,4.0,A,3.2,A,6.3,A
104,USGS,2035000,2022-08-05,0.46,A,0.08,A,0.1,A,2520,A,30.8,A,26.2,A,29.6,A,248.0,A,108.0,A,237.0,A,8.2,A,6.6,A,7.1,A,8.5,A,7.2,A,8.1,A,4.2,A,2.5,A,148.0,A
105,USGS,2035000,2022-08-06,,,,,,,3000,A,27.7,A,25.1,A,26.4,A,137.0,A,93.0,A,114.0,A,6.9,A,6.3,A,6.6,A,7.4,A,7.1,A,7.2,A,44.0,A,19.3,A,165.0,A
106,USGS,2035000,2022-08-07,0.23,A,0.13,A,0.16,A,2920,A,29.8,A,26.9,A,28.0,A,188.0,A,137.0,A,172.0,A,8.1,A,6.6,A,7.2,A,8.0,A,7.4,A,7.7,A,8.9,A,7.0,A,19.3,A
107,USGS,2035000,2022-08-08,,,,,,,2690,A,31.0,A,28.2,A,29.4,A,219.0,A,188.0,A,209.0,A,8.2,A,6.8,A,7.2,A,8.3,A,7.8,A,8.0,A,6.6,A,4.6,A,8.4,A
108,USGS,2035000,2022-08-09,0.13,A,0.01,A,0.1,A,2970,A,31.9,A,29.3,A,30.4,A,226.0,A,219.0,A,223.0,A,8.4,A,6.6,A,7.1,A,8.5,A,7.9,A,8.1,A,5.8,A,4.0,A,9.7,A
109,USGS,2035000,2022-08-10,,,,,,,2800,A,32.1,A,29.9,A,30.8,A,225.0,A,202.0,A,217.0,A,8.3,A,6.5,A,6.9,A,8.5,A,7.9,A,8.0,A,4.6,A,2.8,A,59.7,A
